"TIME","GEO","SEX","AGE","N_CHILD","AGECHILD","ISCED11","Value"
"2012","European Union - 28 countries (2013-2020)","Females","18 years or over","1 child","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","64.2"
"2012","European Union - 28 countries (2013-2020)","Females","18 years or over","1 child","Total","Tertiary education (levels 5-8)","80.4"
"2012","European Union - 28 countries (2013-2020)","Females","18 years or over","2 children","Total","All ISCED 2011 levels ","63.9"
"2012","European Union - 28 countries (2013-2020)","Females","18 years or over","2 children","Total","Less than primary, primary and lower secondary education (levels 0-2)","39.0"
"2012","European Union - 28 countries (2013-2020)","Females","18 years or over","2 children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","65.0"
"2012","European Union - 28 countries (2013-2020)","Females","18 years or over","2 children","Total","Tertiary education (levels 5-8)","82.0"
"2012","European Union - 28 countries (2013-2020)","Females","18 years or over","3 children or more","Total","All ISCED 2011 levels ","49.8"
"2012","European Union - 28 countries (2013-2020)","Females","18 years or over","3 children or more","Total","Less than primary, primary and lower secondary education (levels 0-2)","28.0"
"2012","European Union - 28 countries (2013-2020)","Females","18 years or over","3 children or more","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","52.5"
"2012","European Union - 28 countries (2013-2020)","Females","18 years or over","3 children or more","Total","Tertiary education (levels 5-8)","74.5"
"2012","European Union - 15 countries (1995-2004)","Females","18 years or over","Total","Total","All ISCED 2011 levels ","48.3"
"2012","European Union - 15 countries (1995-2004)","Females","18 years or over","Total","Total","Less than primary, primary and lower secondary education (levels 0-2)","27.0"
"2012","European Union - 15 countries (1995-2004)","Females","18 years or over","Total","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","56.1"
"2012","European Union - 15 countries (1995-2004)","Females","18 years or over","Total","Total","Tertiary education (levels 5-8)","72.6"
"2012","European Union - 15 countries (1995-2004)","Females","18 years or over","No children","Total","All ISCED 2011 levels ","41.5"
"2012","European Union - 15 countries (1995-2004)","Females","18 years or over","No children","Total","Less than primary, primary and lower secondary education (levels 0-2)","22.4"
"2012","European Union - 15 countries (1995-2004)","Females","18 years or over","No children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","51.1"
"2012","European Union - 15 countries (1995-2004)","Females","18 years or over","No children","Total","Tertiary education (levels 5-8)","67.5"
"2012","European Union - 15 countries (1995-2004)","Females","18 years or over","1 child","Total","All ISCED 2011 levels ","64.2"
"2012","European Union - 15 countries (1995-2004)","Females","18 years or over","1 child","Total","Less than primary, primary and lower secondary education (levels 0-2)","44.9"
"2012","European Union - 15 countries (1995-2004)","Females","18 years or over","1 child","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","66.7"
"2012","European Union - 15 countries (1995-2004)","Females","18 years or over","1 child","Total","Tertiary education (levels 5-8)","80.6"
"2012","European Union - 15 countries (1995-2004)","Females","18 years or over","2 children","Total","All ISCED 2011 levels ","65.6"
"2012","European Union - 15 countries (1995-2004)","Females","18 years or over","2 children","Total","Less than primary, primary and lower secondary education (levels 0-2)","41.0"
"2012","European Union - 15 countries (1995-2004)","Females","18 years or over","2 children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","67.1"
"2012","European Union - 15 countries (1995-2004)","Females","18 years or over","2 children","Total","Tertiary education (levels 5-8)","82.6"
"2012","European Union - 15 countries (1995-2004)","Females","18 years or over","3 children or more","Total","All ISCED 2011 levels ","51.6"
"2012","European Union - 15 countries (1995-2004)","Females","18 years or over","3 children or more","Total","Less than primary, primary and lower secondary education (levels 0-2)","28.7"
"2012","European Union - 15 countries (1995-2004)","Females","18 years or over","3 children or more","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","54.1"
"2012","European Union - 15 countries (1995-2004)","Females","18 years or over","3 children or more","Total","Tertiary education (levels 5-8)","74.7"
"2012","Euro area - 19 countries  (from 2015)","Females","18 years or over","Total","Total","All ISCED 2011 levels ","46.6"
"2012","Euro area - 19 countries  (from 2015)","Females","18 years or over","Total","Total","Less than primary, primary and lower secondary education (levels 0-2)","24.8"
"2012","Euro area - 19 countries  (from 2015)","Females","18 years or over","Total","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","54.1"
"2012","Euro area - 19 countries  (from 2015)","Females","18 years or over","Total","Total","Tertiary education (levels 5-8)","71.4"
"2012","Euro area - 19 countries  (from 2015)","Females","18 years or over","No children","Total","All ISCED 2011 levels ","39.9"
"2012","Euro area - 19 countries  (from 2015)","Females","18 years or over","No children","Total","Less than primary, primary and lower secondary education (levels 0-2)","20.2"
"2012","Euro area - 19 countries  (from 2015)","Females","18 years or over","No children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","48.7"
"2012","Euro area - 19 countries  (from 2015)","Females","18 years or over","No children","Total","Tertiary education (levels 5-8)","65.8"
"2012","Euro area - 19 countries  (from 2015)","Females","18 years or over","1 child","Total","All ISCED 2011 levels ","62.6"
"2012","Euro area - 19 countries  (from 2015)","Females","18 years or over","1 child","Total","Less than primary, primary and lower secondary education (levels 0-2)","43.2"
"2012","Euro area - 19 countries  (from 2015)","Females","18 years or over","1 child","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","65.4"
"2012","Euro area - 19 countries  (from 2015)","Females","18 years or over","1 child","Total","Tertiary education (levels 5-8)","80.0"
"2012","Euro area - 19 countries  (from 2015)","Females","18 years or over","2 children","Total","All ISCED 2011 levels ","64.0"
"2012","Euro area - 19 countries  (from 2015)","Females","18 years or over","2 children","Total","Less than primary, primary and lower secondary education (levels 0-2)","39.9"
"2012","Euro area - 19 countries  (from 2015)","Females","18 years or over","2 children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","66.1"
"2012","Euro area - 19 countries  (from 2015)","Females","18 years or over","2 children","Total","Tertiary education (levels 5-8)","82.4"
"2012","Euro area - 19 countries  (from 2015)","Females","18 years or over","3 children or more","Total","All ISCED 2011 levels ","50.8"
"2012","Euro area - 19 countries  (from 2015)","Females","18 years or over","3 children or more","Total","Less than primary, primary and lower secondary education (levels 0-2)","28.2"
"2012","Euro area - 19 countries  (from 2015)","Females","18 years or over","3 children or more","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","53.8"
"2012","Euro area - 19 countries  (from 2015)","Females","18 years or over","3 children or more","Total","Tertiary education (levels 5-8)","75.9"
"2012","Belgium","Females","18 years or over","Total","Total","All ISCED 2011 levels ","45.5"
"2012","Belgium","Females","18 years or over","Total","Total","Less than primary, primary and lower secondary education (levels 0-2)","19.7"
"2012","Belgium","Females","18 years or over","Total","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","49.5"
"2012","Belgium","Females","18 years or over","Total","Total","Tertiary education (levels 5-8)","72.2"
"2012","Belgium","Females","18 years or over","No children","Total","All ISCED 2011 levels ","36.1"
"2012","Belgium","Females","18 years or over","No children","Total","Less than primary, primary and lower secondary education (levels 0-2)","15.6"
"2012","Belgium","Females","18 years or over","No children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","42.3"
"2012","Belgium","Females","18 years or over","No children","Total","Tertiary education (levels 5-8)","62.1"
"2012","Belgium","Females","18 years or over","1 child","Total","All ISCED 2011 levels ","63.7"
"2012","Belgium","Females","18 years or over","1 child","Total","Less than primary, primary and lower secondary education (levels 0-2)","38.8"
"2012","Belgium","Females","18 years or over","1 child","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","61.8"
"2012","Belgium","Females","18 years or over","1 child","Total","Tertiary education (levels 5-8)","83.1"
"2012","Belgium","Females","18 years or over","2 children","Total","All ISCED 2011 levels ","71.3"
"2012","Belgium","Females","18 years or over","2 children","Total","Less than primary, primary and lower secondary education (levels 0-2)","36.7"
"2012","Belgium","Females","18 years or over","2 children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","66.5"
"2012","Belgium","Females","18 years or over","2 children","Total","Tertiary education (levels 5-8)","90.2"
"2012","Belgium","Females","18 years or over","3 children or more","Total","All ISCED 2011 levels ","54.2"
"2012","Belgium","Females","18 years or over","3 children or more","Total","Less than primary, primary and lower secondary education (levels 0-2)","24.1"
"2012","Belgium","Females","18 years or over","3 children or more","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","53.6"
"2012","Belgium","Females","18 years or over","3 children or more","Total","Tertiary education (levels 5-8)","83.2"
"2012","Bulgaria","Females","18 years or over","Total","Total","All ISCED 2011 levels ","44.0"
"2012","Bulgaria","Females","18 years or over","Total","Total","Less than primary, primary and lower secondary education (levels 0-2)","14.8"
"2012","Bulgaria","Females","18 years or over","Total","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","50.1"
"2012","Bulgaria","Females","18 years or over","Total","Total","Tertiary education (levels 5-8)","69.1"
"2012","Bulgaria","Females","18 years or over","No children","Total","All ISCED 2011 levels ","39.5"
"2012","Bulgaria","Females","18 years or over","No children","Total","Less than primary, primary and lower secondary education (levels 0-2)","11.7"
"2012","Bulgaria","Females","18 years or over","No children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","46.2"
"2012","Bulgaria","Females","18 years or over","No children","Total","Tertiary education (levels 5-8)","63.3"
"2012","Bulgaria","Females","18 years or over","1 child","Total","All ISCED 2011 levels ","59.1"
"2012","Bulgaria","Females","18 years or over","1 child","Total","Less than primary, primary and lower secondary education (levels 0-2)","23.7"
"2012","Bulgaria","Females","18 years or over","1 child","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","60.2"
"2012","Bulgaria","Females","18 years or over","1 child","Total","Tertiary education (levels 5-8)","81.1"
"2012","Bulgaria","Females","18 years or over","2 children","Total","All ISCED 2011 levels ","57.3"
"2012","Bulgaria","Females","18 years or over","2 children","Total","Less than primary, primary and lower secondary education (levels 0-2)","28.9"
"2012","Bulgaria","Females","18 years or over","2 children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","64.0"
"2012","Bulgaria","Females","18 years or over","2 children","Total","Tertiary education (levels 5-8)","85.2"
"2012","Bulgaria","Females","18 years or over","3 children or more","Total","All ISCED 2011 levels ","22.9"
"2012","Bulgaria","Females","18 years or over","3 children or more","Total","Less than primary, primary and lower secondary education (levels 0-2)",":"
"2012","Bulgaria","Females","18 years or over","3 children or more","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"2012","Bulgaria","Females","18 years or over","3 children or more","Total","Tertiary education (levels 5-8)",":"
"2012","Czechia","Females","18 years or over","Total","Total","All ISCED 2011 levels ","47.7"
"2012","Czechia","Females","18 years or over","Total","Total","Less than primary, primary and lower secondary education (levels 0-2)","15.7"
"2012","Czechia","Females","18 years or over","Total","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","51.1"
"2012","Czechia","Females","18 years or over","Total","Total","Tertiary education (levels 5-8)","67.6"
"2012","Czechia","Females","18 years or over","No children","Total","All ISCED 2011 levels ","42.9"
"2012","Czechia","Females","18 years or over","No children","Total","Less than primary, primary and lower secondary education (levels 0-2)","13.0"
"2012","Czechia","Females","18 years or over","No children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","46.2"
"2012","Czechia","Females","18 years or over","No children","Total","Tertiary education (levels 5-8)","69.5"
"2012","Czechia","Females","18 years or over","1 child","Total","All ISCED 2011 levels ","58.2"
"2012","Czechia","Females","18 years or over","1 child","Total","Less than primary, primary and lower secondary education (levels 0-2)","25.9"
"2012","Czechia","Females","18 years or over","1 child","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","61.6"
"2012","Czechia","Females","18 years or over","1 child","Total","Tertiary education (levels 5-8)","65.3"
"2012","Czechia","Females","18 years or over","2 children","Total","All ISCED 2011 levels ","60.6"
"2012","Czechia","Females","18 years or over","2 children","Total","Less than primary, primary and lower secondary education (levels 0-2)","30.9"
"2012","Czechia","Females","18 years or over","2 children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","62.9"
"2012","Czechia","Females","18 years or over","2 children","Total","Tertiary education (levels 5-8)","65.3"
"2012","Czechia","Females","18 years or over","3 children or more","Total","All ISCED 2011 levels ","39.8"
"2012","Czechia","Females","18 years or over","3 children or more","Total","Less than primary, primary and lower secondary education (levels 0-2)","15.6"
"2012","Czechia","Females","18 years or over","3 children or more","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","45.9"
"2012","Czechia","Females","18 years or over","3 children or more","Total","Tertiary education (levels 5-8)","51.9"
"2012","Denmark","Females","18 years or over","Total","Total","All ISCED 2011 levels ","63.6"
"2012","Denmark","Females","18 years or over","Total","Total","Less than primary, primary and lower secondary education (levels 0-2)","36.4"
"2012","Denmark","Females","18 years or over","Total","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","59.9"
"2012","Denmark","Females","18 years or over","Total","Total","Tertiary education (levels 5-8)","74.2"
"2012","Denmark","Females","18 years or over","No children","Total","All ISCED 2011 levels ","53.6"
"2012","Denmark","Females","18 years or over","No children","Total","Less than primary, primary and lower secondary education (levels 0-2)","33.4"
"2012","Denmark","Females","18 years or over","No children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","53.9"
"2012","Denmark","Females","18 years or over","No children","Total","Tertiary education (levels 5-8)","66.5"
"2012","Denmark","Females","18 years or over","1 child","Total","All ISCED 2011 levels ","76.8"
"2012","Denmark","Females","18 years or over","1 child","Total","Less than primary, primary and lower secondary education (levels 0-2)","48.6"
"2012","Denmark","Females","18 years or over","1 child","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","74.0"
"2012","Denmark","Females","18 years or over","1 child","Total","Tertiary education (levels 5-8)","83.7"
"2012","Denmark","Females","18 years or over","2 children","Total","All ISCED 2011 levels ","85.2"
"2012","Denmark","Females","18 years or over","2 children","Total","Less than primary, primary and lower secondary education (levels 0-2)","56.2"
"2012","Denmark","Females","18 years or over","2 children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","81.0"
"2012","Denmark","Females","18 years or over","2 children","Total","Tertiary education (levels 5-8)","89.1"
"2012","Denmark","Females","18 years or over","3 children or more","Total","All ISCED 2011 levels ","79.8"
"2012","Denmark","Females","18 years or over","3 children or more","Total","Less than primary, primary and lower secondary education (levels 0-2)","61.4"
"2012","Denmark","Females","18 years or over","3 children or more","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","74.4"
"2012","Denmark","Females","18 years or over","3 children or more","Total","Tertiary education (levels 5-8)","87.1"
"2012","Germany (until 1990 former territory of the FRG)","Females","18 years or over","Total","Total","All ISCED 2011 levels ","53.1"
"2012","Germany (until 1990 former territory of the FRG)","Females","18 years or over","Total","Total","Less than primary, primary and lower secondary education (levels 0-2)","28.1"
"2012","Germany (until 1990 former territory of the FRG)","Females","18 years or over","Total","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","56.7"
"2012","Germany (until 1990 former territory of the FRG)","Females","18 years or over","Total","Total","Tertiary education (levels 5-8)","73.1"
"2012","Germany (until 1990 former territory of the FRG)","Females","18 years or over","No children","Total","All ISCED 2011 levels ","47.6"
"2012","Germany (until 1990 former territory of the FRG)","Females","18 years or over","No children","Total","Less than primary, primary and lower secondary education (levels 0-2)","23.9"
"2012","Germany (until 1990 former territory of the FRG)","Females","18 years or over","No children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","51.0"
"2012","Germany (until 1990 former territory of the FRG)","Females","18 years or over","No children","Total","Tertiary education (levels 5-8)","69.7"
"2012","Germany (until 1990 former territory of the FRG)","Females","18 years or over","1 child","Total","All ISCED 2011 levels ","71.9"
"2012","Germany (until 1990 former territory of the FRG)","Females","18 years or over","1 child","Total","Less than primary, primary and lower secondary education (levels 0-2)","47.5"
"2012","Germany (until 1990 former territory of the FRG)","Females","18 years or over","1 child","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","76.1"
"2012","Germany (until 1990 former territory of the FRG)","Females","18 years or over","1 child","Total","Tertiary education (levels 5-8)","83.5"
"2012","Germany (until 1990 former territory of the FRG)","Females","18 years or over","2 children","Total","All ISCED 2011 levels ","69.6"
"2012","Germany (until 1990 former territory of the FRG)","Females","18 years or over","2 children","Total","Less than primary, primary and lower secondary education (levels 0-2)","43.6"
"2012","Germany (until 1990 former territory of the FRG)","Females","18 years or over","2 children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","72.9"
"2012","Germany (until 1990 former territory of the FRG)","Females","18 years or over","2 children","Total","Tertiary education (levels 5-8)","80.5"
"2012","Germany (until 1990 former territory of the FRG)","Females","18 years or over","3 children or more","Total","All ISCED 2011 levels ","49.9"
"2012","Germany (until 1990 former territory of the FRG)","Females","18 years or over","3 children or more","Total","Less than primary, primary and lower secondary education (levels 0-2)","28.7"
"2012","Germany (until 1990 former territory of the FRG)","Females","18 years or over","3 children or more","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","55.5"
"2012","Germany (until 1990 former territory of the FRG)","Females","18 years or over","3 children or more","Total","Tertiary education (levels 5-8)","71.0"
"2012","Estonia","Females","18 years or over","Total","Total","All ISCED 2011 levels ","52.6"
"2012","Estonia","Females","18 years or over","Total","Total","Less than primary, primary and lower secondary education (levels 0-2)","25.6"
"2012","Estonia","Females","18 years or over","Total","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","57.5"
"2012","Estonia","Females","18 years or over","Total","Total","Tertiary education (levels 5-8)","73.8"
"2012","Estonia","Females","18 years or over","No children","Total","All ISCED 2011 levels ","49.1"
"2012","Estonia","Females","18 years or over","No children","Total","Less than primary, primary and lower secondary education (levels 0-2)","19.5"
"2012","Estonia","Females","18 years or over","No children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","55.2"
"2012","Estonia","Females","18 years or over","No children","Total","Tertiary education (levels 5-8)","73.9"
"2012","Estonia","Females","18 years or over","1 child","Total","All ISCED 2011 levels ","60.9"
"2012","Estonia","Females","18 years or over","1 child","Total","Less than primary, primary and lower secondary education (levels 0-2)","35.4"
"2012","Estonia","Females","18 years or over","1 child","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","63.3"
"2012","Estonia","Females","18 years or over","1 child","Total","Tertiary education (levels 5-8)","77.9"
"2012","Estonia","Females","18 years or over","2 children","Total","All ISCED 2011 levels ","59.8"
"2012","Estonia","Females","18 years or over","2 children","Total","Less than primary, primary and lower secondary education (levels 0-2)","43.4"
"2012","Estonia","Females","18 years or over","2 children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","63.1"
"2012","Estonia","Females","18 years or over","2 children","Total","Tertiary education (levels 5-8)","67.5"
"2012","Estonia","Females","18 years or over","3 children or more","Total","All ISCED 2011 levels ","50.2"
"2012","Estonia","Females","18 years or over","3 children or more","Total","Less than primary, primary and lower secondary education (levels 0-2)",":"
"2012","Estonia","Females","18 years or over","3 children or more","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","49.5"
"2012","Estonia","Females","18 years or over","3 children or more","Total","Tertiary education (levels 5-8)","72.0"
"2012","Ireland","Females","18 years or over","Total","Total","All ISCED 2011 levels ","50.1"
"2012","Ireland","Females","18 years or over","Total","Total","Less than primary, primary and lower secondary education (levels 0-2)","21.4"
"2012","Ireland","Females","18 years or over","Total","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","50.0"
"2012","Ireland","Females","18 years or over","Total","Total","Tertiary education (levels 5-8)","72.2"
"2012","Ireland","Females","18 years or over","No children","Total","All ISCED 2011 levels ","46.0"
"2012","Ireland","Females","18 years or over","No children","Total","Less than primary, primary and lower secondary education (levels 0-2)","18.0"
"2012","Ireland","Females","18 years or over","No children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","49.4"
"2012","Ireland","Females","18 years or over","No children","Total","Tertiary education (levels 5-8)","71.0"
"2012","Ireland","Females","18 years or over","1 child","Total","All ISCED 2011 levels ","59.5"
"2012","Ireland","Females","18 years or over","1 child","Total","Less than primary, primary and lower secondary education (levels 0-2)","35.8"
"2012","Ireland","Females","18 years or over","1 child","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","55.6"
"2012","Ireland","Females","18 years or over","1 child","Total","Tertiary education (levels 5-8)","77.1"
"2012","Ireland","Females","18 years or over","2 children","Total","All ISCED 2011 levels ","57.1"
"2012","Ireland","Females","18 years or over","2 children","Total","Less than primary, primary and lower secondary education (levels 0-2)","29.9"
"2012","Ireland","Females","18 years or over","2 children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","52.0"
"2012","Ireland","Females","18 years or over","2 children","Total","Tertiary education (levels 5-8)","74.2"
"2012","Ireland","Females","18 years or over","3 children or more","Total","All ISCED 2011 levels ","45.5"
"2012","Ireland","Females","18 years or over","3 children or more","Total","Less than primary, primary and lower secondary education (levels 0-2)","17.4"
"2012","Ireland","Females","18 years or over","3 children or more","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","38.4"
"2012","Ireland","Females","18 years or over","3 children or more","Total","Tertiary education (levels 5-8)","66.5"
"2012","Greece","Females","18 years or over","Total","Total","All ISCED 2011 levels ","33.1"
"2012","Greece","Females","18 years or over","Total","Total","Less than primary, primary and lower secondary education (levels 0-2)","17.8"
"2012","Greece","Females","18 years or over","Total","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","36.1"
"2012","Greece","Females","18 years or over","Total","Total","Tertiary education (levels 5-8)","61.8"
"2012","Greece","Females","18 years or over","No children","Total","All ISCED 2011 levels ","27.4"
"2012","Greece","Females","18 years or over","No children","Total","Less than primary, primary and lower secondary education (levels 0-2)","14.6"
"2012","Greece","Females","18 years or over","No children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","31.6"
"2012","Greece","Females","18 years or over","No children","Total","Tertiary education (levels 5-8)","55.9"
"2012","Greece","Females","18 years or over","1 child","Total","All ISCED 2011 levels ","47.3"
"2012","Greece","Females","18 years or over","1 child","Total","Less than primary, primary and lower secondary education (levels 0-2)","34.3"
"2012","Greece","Females","18 years or over","1 child","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","43.5"
"2012","Greece","Females","18 years or over","1 child","Total","Tertiary education (levels 5-8)","69.5"
"2012","Greece","Females","18 years or over","2 children","Total","All ISCED 2011 levels ","49.6"
"2012","Greece","Females","18 years or over","2 children","Total","Less than primary, primary and lower secondary education (levels 0-2)","32.3"
"2012","Greece","Females","18 years or over","2 children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","45.3"
"2012","Greece","Females","18 years or over","2 children","Total","Tertiary education (levels 5-8)","75.3"
"2012","Greece","Females","18 years or over","3 children or more","Total","All ISCED 2011 levels ","44.4"
"2012","Greece","Females","18 years or over","3 children or more","Total","Less than primary, primary and lower secondary education (levels 0-2)","26.8"
"2012","Greece","Females","18 years or over","3 children or more","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","41.7"
"2012","Greece","Females","18 years or over","3 children or more","Total","Tertiary education (levels 5-8)","75.2"
"2012","Spain","Females","18 years or over","Total","Total","All ISCED 2011 levels ","41.8"
"2012","Spain","Females","18 years or over","Total","Total","Less than primary, primary and lower secondary education (levels 0-2)","24.9"
"2012","Spain","Females","18 years or over","Total","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","48.3"
"2012","Spain","Females","18 years or over","Total","Total","Tertiary education (levels 5-8)","68.6"
"2012","Spain","Females","18 years or over","No children","Total","All ISCED 2011 levels ","36.2"
"2012","Spain","Females","18 years or over","No children","Total","Less than primary, primary and lower secondary education (levels 0-2)","20.3"
"2012","Spain","Females","18 years or over","No children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","46.7"
"2012","Spain","Females","18 years or over","No children","Total","Tertiary education (levels 5-8)","64.8"
"2012","Spain","Females","18 years or over","1 child","Total","All ISCED 2011 levels ","53.4"
"2012","Spain","Females","18 years or over","1 child","Total","Less than primary, primary and lower secondary education (levels 0-2)","39.5"
"2012","Spain","Females","18 years or over","1 child","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","51.3"
