;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;Netherlands;61,6 ;62,3 ;67,7 ;66,6 ;66 years 4 months ;66 years 4 months ;;;;;;;;;;;;;;;;
;;Austria;59,9 ;57,5 ;63,7 ;61,8 ;65 years ;60 years ;;;;;;;;;;;;;;;;
;;Poland;58,6 ;57,3 ;63,2 ;62,4 ;65 years ;60 years ;;;;;;;;;;;;;;;;
;;Portugal;62,8 ;62,2 ;65,8 ;64,4 ;66 years 5 months ;66 years 5 months ;;;;;;;;;;;;;;;;
;;Romania;59,2 ;58,6 ;63,2 ;62,0 ;65 years ;61 years 3-5 months ;;;;;;;;;;;;;;;;
;;Slovenia;58,2 ;56,6 ;63,6 ;62,4 ;65 years ;65 years ;;;;;;;;;;;;;;;;
;;Slovakia;60,4 ;59,1 ;62,6 ;61,5 ;62 years 6-8 months ;62 years 6-8 months ;;;;;;;;;;;;;;;;
;;Finland;62,2 ;62,3 ;65,3 ;64,1 ;65 years ;65 years ;;;;;;;;;;;;;;;;
;;Sweden;63,3 ;62,8 ;68,0 ;67,1 ;65 years ;65 years ;;;;;;;;;;;;;;;;
;;United Kingdom;61,3 ;60,7 ;65,6 ;64,6 ;65 years 7-12 months ;65 years 7-12 months ;;;;;;;;;;;;;;;;
;;Iceland;: ;: ;: ;: ;67 years ;67 years ;;;;;;;;;;;;;;;;
;;Norway;65,4 ;64,1 ;67,1 ;66,0 ;67 years ;67 years ;;;;;;;;;;;;;;;;
;;Switzerland;: ;: ;: ;: ;65 years ;64 years ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;Note: definitions of the statutory pension age vary across EU Member States. The figures presented refer to the national statutory pension age (the age at which people are entitled to an old-age pension). When the pension age is defined as a range, the top limit is presented.;;;;;;;;;;;;;;;;;;;;;;
;;Source: Extending working life: what do workers want?, Eurofound, 2017 and the Finnish Centre for Pensions (https://www.etk.fi/en/);;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Bookmarks:;;;;;;;;;;;;;;;;;;;;;;;;
https://www.eurofound.europa.eu/data/european-working-conditions-survey;;;;;;;;;;;;;;;;;;;;;;;;
https://www.etk.fi/en/the-pension-system/international-comparison/retirement-ages/;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
