"time","_geo","geo","value","unit","_unit","sex","_sex","reason","_reason","_flag"
2011,"EU28","European Union - 28 countries (1993-2020)",16.1,"Percentage","PC","Women","W","Distance","DST","b"
2016,"EU28","European Union - 28 countries (1993-2020)",20.5,"Percentage","PC","Women","W","Distance","DST",
2007,"FI","Finland",27.5,"Percentage","PC","Women","W","Distance","DST",
2011,"FI","Finland",24.5,"Percentage","PC","Women","W","Distance","DST",
2016,"FI","Finland",21.1,"Percentage","PC","Women","W","Distance","DST",
2011,"FR","France",16.5,"Percentage","PC","Women","W","Distance","DST","b"
2016,"FR","France",14.3,"Percentage","PC","Women","W","Distance","DST",
2007,"HR","Croatia",24.5,"Percentage","PC","Women","W","Distance","DST",
2016,"HR","Croatia",19,"Percentage","PC","Women","W","Distance","DST",
2007,"HU","Hungary",33.2,"Percentage","PC","Women","W","Distance","DST",
2011,"HU","Hungary",26.5,"Percentage","PC","Women","W","Distance","DST","b"
2016,"HU","Hungary",33.1,"Percentage","PC","Women","W","Distance","DST",
2016,"IE","Ireland",9,"Percentage","PC","Women","W","Distance","DST","b"
2007,"IT","Italy",19,"Percentage","PC","Women","W","Distance","DST",
2011,"IT","Italy",21.6,"Percentage","PC","Women","W","Distance","DST",
2016,"IT","Italy",20.6,"Percentage","PC","Women","W","Distance","DST",
2007,"LT","Lithuania",16.9,"Percentage","PC","Women","W","Distance","DST",
2011,"LT","Lithuania",9.7,"Percentage","PC","Women","W","Distance","DST","u"
2016,"LT","Lithuania",16.7,"Percentage","PC","Women","W","Distance","DST","u"
2011,"LU","Luxembourg",13.2,"Percentage","PC","Women","W","Distance","DST",
2016,"LU","Luxembourg",13.1,"Percentage","PC","Women","W","Distance","DST","b"
2007,"LV","Latvia",19.7,"Percentage","PC","Women","W","Distance","DST",
2011,"LV","Latvia",22.1,"Percentage","PC","Women","W","Distance","DST",
2016,"LV","Latvia",29.4,"Percentage","PC","Women","W","Distance","DST",
2016,"MK","North Macedonia",26.5,"Percentage","PC","Women","W","Distance","DST",
2011,"MT","Malta",4.8,"Percentage","PC","Women","W","Distance","DST","u"
2016,"MT","Malta",11,"Percentage","PC","Women","W","Distance","DST","u"
2007,"NL","Netherlands",14.2,"Percentage","PC","Women","W","Distance","DST","u"
2011,"NL","Netherlands",22.7,"Percentage","PC","Women","W","Distance","DST",
2007,"NO","Norway",19.1,"Percentage","PC","Women","W","Distance","DST",
2007,"PL","Poland",29.3,"Percentage","PC","Women","W","Distance","DST",
2011,"PL","Poland",8.2,"Percentage","PC","Women","W","Distance","DST",
2016,"PL","Poland",4.7,"Percentage","PC","Women","W","Distance","DST",
2007,"PT","Portugal",35,"Percentage","PC","Women","W","Distance","DST",
2011,"PT","Portugal",20.6,"Percentage","PC","Women","W","Distance","DST",
2016,"PT","Portugal",28,"Percentage","PC","Women","W","Distance","DST",
2007,"RO","Romania",21.4,"Percentage","PC","Women","W","Distance","DST",
2011,"RO","Romania",31.6,"Percentage","PC","Women","W","Distance","DST",
2016,"RO","Romania",18,"Percentage","PC","Women","W","Distance","DST",
2011,"RS","Serbia",11.5,"Percentage","PC","Women","W","Distance","DST",
2016,"RS","Serbia",27.1,"Percentage","PC","Women","W","Distance","DST",
2007,"SE","Sweden",19.4,"Percentage","PC","Women","W","Distance","DST",
2011,"SE","Sweden",18,"Percentage","PC","Women","W","Distance","DST",
2016,"SE","Sweden",16,"Percentage","PC","Women","W","Distance","DST","b"
2007,"SI","Slovenia",33.1,"Percentage","PC","Women","W","Distance","DST",
2016,"SI","Slovenia",14.7,"Percentage","PC","Women","W","Distance","DST",
2016,"SK","Slovakia",19.1,"Percentage","PC","Women","W","Distance","DST",
2007,"TR","Turkey",27.9,"Percentage","PC","Women","W","Distance","DST",
2011,"TR","Turkey",12.1,"Percentage","PC","Women","W","Distance","DST",
2016,"TR","Turkey",20.4,"Percentage","PC","Women","W","Distance","DST",
2007,"UK","United Kingdom",25.4,"Percentage","PC","Women","W","Distance","DST",
2016,"UK","United Kingdom",38.4,"Percentage","PC","Women","W","Distance","DST","b"
2016,"AL","Albania",6.2,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2011,"AT","Austria",17.1,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2016,"AT","Austria",20.9,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2016,"BA","Bosnia and Herzegovina",6.8,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI","u"
2011,"BE","Belgium",8.2,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2016,"BE","Belgium",10.3,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2011,"BG","Bulgaria",12.2,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI","u"
2016,"BG","Bulgaria",19.2,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2011,"CH","Switzerland",21.2,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2016,"CH","Switzerland",22.7,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2011,"CY","Cyprus",7.2,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2016,"CY","Cyprus",15.1,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2011,"CZ","Czech Republic",9.4,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI","u"
2016,"CZ","Czech Republic",7.3,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2011,"DE","Germany",20.6,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2016,"DE","Germany",20.2,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2011,"DK","Denmark",17.4,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2016,"DK","Denmark",27,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2011,"EA19","Euro area (19 countries)",17.9,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI","b"
2016,"EA19","Euro area (19 countries)",19.4,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2011,"EE","Estonia",19.6,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2011,"EL","Greece",32.7,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2016,"EL","Greece",36.6,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2011,"ES","Spain",11.2,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2016,"ES","Spain",21.4,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2011,"EU27_2020","European Union - 27 countries (from 2020)",16.6,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI","b"
2016,"EU27_2020","European Union - 27 countries (from 2020)",17.5,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2011,"EU28","European Union - 28 countries (1993-2020)",16.6,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI","b"
2016,"EU28","European Union - 28 countries (1993-2020)",16.1,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2011,"FI","Finland",17.8,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2016,"FI","Finland",16.2,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2011,"FR","France",23.3,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI","b"
2016,"FR","France",23,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2016,"HR","Croatia",,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI","u"
2011,"HU","Hungary",9.7,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI","b"
2016,"HU","Hungary",25.2,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2016,"IE","Ireland",5.9,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI","b"
2011,"IT","Italy",15.7,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2016,"IT","Italy",16,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2011,"LT","Lithuania",6,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI","u"
2016,"LT","Lithuania",13.8,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI","u"
2011,"LU","Luxembourg",16.5,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2016,"LU","Luxembourg",11.1,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI","b"
2011,"LV","Latvia",29.3,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2016,"LV","Latvia",28.1,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2016,"MK","North Macedonia",3.6,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI","u"
2011,"MT","Malta",,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI","u"
2016,"MT","Malta",6.3,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI","u"
2011,"NL","Netherlands",17.8,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2011,"PL","Poland",10.7,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2016,"PL","Poland",7.9,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2016,"PT","Portugal",18.9,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2011,"RO","Romania",,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI","u"
2016,"RO","Romania",7.1,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2011,"RS","Serbia",6.5,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI","u"
2016,"RS","Serbia",20.1,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2011,"SE","Sweden",14.3,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2016,"SE","Sweden",15.1,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI","b"
2016,"SI","Slovenia",11.5,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2016,"SK","Slovakia",10.6,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI","u"
2011,"TR","Turkey",4.7,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2016,"TR","Turkey",11.8,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI",
2016,"UK","United Kingdom",8.6,"Percentage","PC","Women","W","No suitable offer for education or training","EDUC_TNG_NSUI","b"
2016,"AL","Albania",56,"Percentage","PC","Women","W","Family reasons","FAM",
2007,"AT","Austria",49.9,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"AT","Austria",47.7,"Percentage","PC","Women","W","Family reasons","FAM",
2016,"AT","Austria",46.3,"Percentage","PC","Women","W","Family reasons","FAM",
2016,"BA","Bosnia and Herzegovina",57.1,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"BE","Belgium",28.6,"Percentage","PC","Women","W","Family reasons","FAM",
2016,"BE","Belgium",31.6,"Percentage","PC","Women","W","Family reasons","FAM",
2007,"BG","Bulgaria",36.2,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"BG","Bulgaria",33.9,"Percentage","PC","Women","W","Family reasons","FAM",
2016,"BG","Bulgaria",24.1,"Percentage","PC","Women","W","Family reasons","FAM",
2007,"CH","Switzerland",41.9,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"CH","Switzerland",48,"Percentage","PC","Women","W","Family reasons","FAM",
2016,"CH","Switzerland",40.1,"Percentage","PC","Women","W","Family reasons","FAM",
2007,"CY","Cyprus",73.2,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"CY","Cyprus",62.3,"Percentage","PC","Women","W","Family reasons","FAM",
2016,"CY","Cyprus",68.5,"Percentage","PC","Women","W","Family reasons","FAM",
2007,"CZ","Czech Republic",46.6,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"CZ","Czech Republic",38.8,"Percentage","PC","Women","W","Family reasons","FAM",
2016,"CZ","Czech Republic",40,"Percentage","PC","Women","W","Family reasons","FAM",
2007,"DE","Germany",39.7,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"DE","Germany",50,"Percentage","PC","Women","W","Family reasons","FAM",
2016,"DE","Germany",45.6,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"DK","Denmark",15,"Percentage","PC","Women","W","Family reasons","FAM",
2016,"DK","Denmark",16.1,"Percentage","PC","Women","W","Family reasons","FAM",
2007,"EA19","Euro area (19 countries)",49.2,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"EA19","Euro area (19 countries)",37.4,"Percentage","PC","Women","W","Family reasons","FAM","b"
2016,"EA19","Euro area (19 countries)",39.5,"Percentage","PC","Women","W","Family reasons","FAM",
2007,"EE","Estonia",37.5,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"EE","Estonia",22,"Percentage","PC","Women","W","Family reasons","FAM",
2007,"EL","Greece",55,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"EL","Greece",44.5,"Percentage","PC","Women","W","Family reasons","FAM",
2016,"EL","Greece",61,"Percentage","PC","Women","W","Family reasons","FAM",
2007,"ES","Spain",45.7,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"ES","Spain",32.6,"Percentage","PC","Women","W","Family reasons","FAM",
2016,"ES","Spain",46.4,"Percentage","PC","Women","W","Family reasons","FAM",
2007,"EU27_2020","European Union - 27 countries (from 2020)",45.4,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"EU27_2020","European Union - 27 countries (from 2020)",36.7,"Percentage","PC","Women","W","Family reasons","FAM","b"
2016,"EU27_2020","European Union - 27 countries (from 2020)",38.9,"Percentage","PC","Women","W","Family reasons","FAM",
2007,"EU28","European Union - 28 countries (1993-2020)",47.3,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"EU28","European Union - 28 countries (1993-2020)",36.7,"Percentage","PC","Women","W","Family reasons","FAM","b"
2016,"EU28","European Union - 28 countries (1993-2020)",40,"Percentage","PC","Women","W","Family reasons","FAM",
2007,"FI","Finland",33.1,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"FI","Finland",31.4,"Percentage","PC","Women","W","Family reasons","FAM",
2016,"FI","Finland",25.3,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"FR","France",18.4,"Percentage","PC","Women","W","Family reasons","FAM","b"
2016,"FR","France",17.2,"Percentage","PC","Women","W","Family reasons","FAM",
2007,"HR","Croatia",46.9,"Percentage","PC","Women","W","Family reasons","FAM",
2016,"HR","Croatia",36.1,"Percentage","PC","Women","W","Family reasons","FAM",
2007,"HU","Hungary",46.6,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"HU","Hungary",30.7,"Percentage","PC","Women","W","Family reasons","FAM","b"
2016,"HU","Hungary",32.3,"Percentage","PC","Women","W","Family reasons","FAM",
2016,"IE","Ireland",50.8,"Percentage","PC","Women","W","Family reasons","FAM","b"
2007,"IT","Italy",55.9,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"IT","Italy",52.1,"Percentage","PC","Women","W","Family reasons","FAM",
2016,"IT","Italy",52.4,"Percentage","PC","Women","W","Family reasons","FAM",
2007,"LT","Lithuania",36.8,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"LT","Lithuania",20.3,"Percentage","PC","Women","W","Family reasons","FAM",
2016,"LT","Lithuania",28.5,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"LU","Luxembourg",41.8,"Percentage","PC","Women","W","Family reasons","FAM",
2016,"LU","Luxembourg",37.4,"Percentage","PC","Women","W","Family reasons","FAM","b"
2007,"LV","Latvia",38.3,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"LV","Latvia",31.5,"Percentage","PC","Women","W","Family reasons","FAM",
2016,"LV","Latvia",35.1,"Percentage","PC","Women","W","Family reasons","FAM",
2016,"MK","North Macedonia",52.2,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"MT","Malta",53.7,"Percentage","PC","Women","W","Family reasons","FAM",
2016,"MT","Malta",65.9,"Percentage","PC","Women","W","Family reasons","FAM",
2007,"NL","Netherlands",39,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"NL","Netherlands",50.3,"Percentage","PC","Women","W","Family reasons","FAM",
2007,"NO","Norway",31,"Percentage","PC","Women","W","Family reasons","FAM",
2007,"PL","Poland",34.9,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"PL","Poland",38.6,"Percentage","PC","Women","W","Family reasons","FAM",
2016,"PL","Poland",41.4,"Percentage","PC","Women","W","Family reasons","FAM",
2007,"PT","Portugal",40.7,"Percentage","PC","Women","W","Family reasons","FAM",
2011,"PT","Portugal",13.9,"Percentage","PC","Women","W","Family reasons","FAM",
