"time","_geo","geo","value","unit","_unit","sex","_sex","training","_training","_flag"
2016,"DK","Denmark",71.3,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2007,"EA19","Euro area (19 countries)",37.6,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"EA19","Euro area (19 countries)",40.5,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE","b"
2016,"EA19","Euro area (19 countries)",38.1,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"EE","Estonia",36.7,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"EE","Estonia",49.3,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2007,"EL","Greece",30.5,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"EL","Greece",45.2,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"EL","Greece",35.6,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2007,"ES","Spain",43.2,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"ES","Spain",42.5,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"ES","Spain",46.7,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2007,"EU27_2020","European Union - 27 countries (from 2020)",38.9,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"EU27_2020","European Union - 27 countries (from 2020)",40.6,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE","b"
2016,"EU27_2020","European Union - 27 countries (from 2020)",38.5,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2007,"EU28","European Union - 28 countries (1993-2020)",44.2,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"EU28","European Union - 28 countries (1993-2020)",45.4,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE","b"
2016,"EU28","European Union - 28 countries (1993-2020)",38.3,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2007,"FI","Finland",56.5,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"FI","Finland",58.3,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"FI","Finland",56.1,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"FR","France",41.6,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE","b"
2016,"FR","France",44.1,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2007,"HR","Croatia",52.7,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"HR","Croatia",39.1,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2007,"HU","Hungary",34.8,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"HU","Hungary",25.3,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE","b"
2016,"HU","Hungary",21.5,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"IE","Ireland",34.2,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"IE","Ireland",45.2,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE","b"
2007,"IT","Italy",29.9,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"IT","Italy",37.3,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"IT","Italy",28,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2007,"LT","Lithuania",33.7,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"LT","Lithuania",28.3,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"LT","Lithuania",25.6,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"LU","Luxembourg",63.5,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"LU","Luxembourg",63.6,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE","b"
2007,"LV","Latvia",44.4,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"LV","Latvia",50.9,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"LV","Latvia",45.9,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"MK","North Macedonia",41.6,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"MT","Malta",58.1,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"MT","Malta",49.8,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2007,"NL","Netherlands",76.7,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"NL","Netherlands",50,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"NL","Netherlands",55.3,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"NO","Norway",36.4,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"NO","Norway",52.5,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2007,"PL","Poland",47,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"PL","Poland",45.7,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"PL","Poland",42.9,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2007,"PT","Portugal",43,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"PT","Portugal",52.4,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"PT","Portugal",46.2,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2007,"RO","Romania",61.2,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"RO","Romania",16.3,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"RO","Romania",26.6,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"RS","Serbia",39.9,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"RS","Serbia",44.4,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2007,"SE","Sweden",41.7,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"SE","Sweden",41.7,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"SE","Sweden",49.8,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE","b"
2007,"SI","Slovenia",43.7,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"SI","Slovenia",43,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"SI","Slovenia",62.1,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2007,"SK","Slovakia",55.7,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"SK","Slovakia",48.1,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"SK","Slovakia",39.7,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2007,"TR","Turkey",32.5,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"TR","Turkey",28.9,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"TR","Turkey",22.3,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2007,"UK","United Kingdom",64.3,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"UK","United Kingdom",85.2,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"UK","United Kingdom",36.9,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE","b"
2016,"AL","Albania",6.1,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2007,"AT","Austria",23.3,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"AT","Austria",15.3,"Percentage","PC","Women","W","Informal learning only","INF_ONL","u"
2016,"AT","Austria",17.1,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2016,"BA","Bosnia and Herzegovina",3.7,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2007,"BE","Belgium",29.6,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"BE","Belgium",19.4,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2007,"BG","Bulgaria",31.6,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"BG","Bulgaria",16.5,"Percentage","PC","Women","W","Informal learning only","INF_ONL","u"
2016,"BG","Bulgaria",3.4,"Percentage","PC","Women","W","Informal learning only","INF_ONL","u"
2011,"CH","Switzerland",31.9,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2016,"CH","Switzerland",28.1,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2007,"CY","Cyprus",14.7,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"CY","Cyprus",9,"Percentage","PC","Women","W","Informal learning only","INF_ONL","u"
2016,"CY","Cyprus",7.6,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"CZ","Czech Republic",24.1,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2016,"CZ","Czech Republic",9.9,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2007,"DE","Germany",18,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"DE","Germany",19.1,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2016,"DE","Germany",21.5,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"DK","Denmark",27.3,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2016,"DK","Denmark",36,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2007,"EA19","Euro area (19 countries)",21.2,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"EA19","Euro area (19 countries)",22.7,"Percentage","PC","Women","W","Informal learning only","INF_ONL","b"
2016,"EA19","Euro area (19 countries)",17.8,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"EE","Estonia",22.2,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2016,"EE","Estonia",25.9,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2007,"EL","Greece",20.5,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"EL","Greece",18.7,"Percentage","PC","Women","W","Informal learning only","INF_ONL","u"
2016,"EL","Greece",7.8,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2007,"ES","Spain",40.1,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"ES","Spain",45,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2016,"ES","Spain",35.6,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2007,"EU27_2020","European Union - 27 countries (from 2020)",23.4,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"EU27_2020","European Union - 27 countries (from 2020)",22,"Percentage","PC","Women","W","Informal learning only","INF_ONL","b"
2016,"EU27_2020","European Union - 27 countries (from 2020)",16.2,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2007,"EU28","European Union - 28 countries (1993-2020)",27.4,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"EU28","European Union - 28 countries (1993-2020)",29.9,"Percentage","PC","Women","W","Informal learning only","INF_ONL","b"
2016,"EU28","European Union - 28 countries (1993-2020)",16.9,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2007,"FI","Finland",46.6,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"FI","Finland",49.7,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2016,"FI","Finland",53.5,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"FR","France",26.9,"Percentage","PC","Women","W","Informal learning only","INF_ONL","b"
2016,"FR","France",20.4,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2007,"HR","Croatia",30.3,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2016,"HR","Croatia",10,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2007,"HU","Hungary",17.9,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"HU","Hungary",22.1,"Percentage","PC","Women","W","Informal learning only","INF_ONL","b"
2016,"HU","Hungary",13.6,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"IE","Ireland",42.6,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2016,"IE","Ireland",21.9,"Percentage","PC","Women","W","Informal learning only","INF_ONL","b"
2007,"IT","Italy",11.8,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"IT","Italy",17.1,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2016,"IT","Italy",7.7,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2007,"LT","Lithuania",17.8,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"LT","Lithuania",30.8,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2016,"LT","Lithuania",20,"Percentage","PC","Women","W","Informal learning only","INF_ONL","u"
2011,"LU","Luxembourg",29,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2016,"LU","Luxembourg",25.4,"Percentage","PC","Women","W","Informal learning only","INF_ONL","b"
2007,"LV","Latvia",21.3,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"LV","Latvia",27.9,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2016,"LV","Latvia",15.3,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2016,"MK","North Macedonia",6.3,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"MT","Malta",24.1,"Percentage","PC","Women","W","Informal learning only","INF_ONL","u"
2016,"MT","Malta",10.2,"Percentage","PC","Women","W","Informal learning only","INF_ONL","u"
2011,"NL","Netherlands",34.1,"Percentage","PC","Women","W","Informal learning only","INF_ONL","u"
2016,"NL","Netherlands",16.4,"Percentage","PC","Women","W","Informal learning only","INF_ONL","u"
2011,"NO","Norway",15.3,"Percentage","PC","Women","W","Informal learning only","INF_ONL","u"
2016,"NO","Norway",27.4,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2007,"PL","Poland",34.1,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"PL","Poland",19.6,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2016,"PL","Poland",15.5,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2007,"PT","Portugal",22.1,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"PT","Portugal",18.4,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2016,"PT","Portugal",13.9,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2007,"RO","Romania",39.9,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"RO","Romania",,"Percentage","PC","Women","W","Informal learning only","INF_ONL","u"
2016,"RO","Romania",4.9,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"RS","Serbia",19.6,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2016,"RS","Serbia",8.8,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2007,"SE","Sweden",26.9,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"SE","Sweden",17.7,"Percentage","PC","Women","W","Informal learning only","INF_ONL","u"
2016,"SE","Sweden",33.7,"Percentage","PC","Women","W","Informal learning only","INF_ONL","b"
2007,"SI","Slovenia",23.4,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"SI","Slovenia",21.2,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2016,"SI","Slovenia",29.9,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2007,"SK","Slovakia",31.7,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"SK","Slovakia",24.7,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2016,"SK","Slovakia",13.2,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2007,"TR","Turkey",11.3,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"TR","Turkey",12.7,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2016,"TR","Turkey",5.3,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2007,"UK","United Kingdom",56.1,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2011,"UK","United Kingdom",81.6,"Percentage","PC","Women","W","Informal learning only","INF_ONL",
2016,"UK","United Kingdom",23.7,"Percentage","PC","Women","W","Informal learning only","INF_ONL","b"
2016,"AL","Albania",,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2007,"AT","Austria",8.1,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2011,"AT","Austria",4.2,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2016,"AT","Austria",10,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2016,"BA","Bosnia and Herzegovina",,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2007,"BE","Belgium",6.7,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2011,"BE","Belgium",6.1,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2007,"BG","Bulgaria",3.1,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2011,"BG","Bulgaria",3.2,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2016,"BG","Bulgaria",,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2011,"CH","Switzerland",12.6,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2016,"CH","Switzerland",9.2,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2007,"CY","Cyprus",3.6,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2011,"CY","Cyprus",,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2011,"CZ","Czech Republic",6.5,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2016,"CZ","Czech Republic",2.5,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2007,"DE","Germany",5.9,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2011,"DE","Germany",6.7,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2016,"DE","Germany",4.8,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2011,"DK","Denmark",16.1,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2016,"DK","Denmark",13,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2007,"EA19","Euro area (19 countries)",5.2,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2011,"EA19","Euro area (19 countries)",8.8,"Percentage","PC","Women","W","No learning activity","NO_LEARN","b"
2016,"EA19","Euro area (19 countries)",5.4,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2011,"EE","Estonia",9.1,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2016,"EE","Estonia",9.8,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2007,"EL","Greece",3.4,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2011,"EL","Greece",5,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2016,"EL","Greece",1.8,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2007,"ES","Spain",7.6,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2011,"ES","Spain",12.1,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2016,"ES","Spain",7.4,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2007,"EU27_2020","European Union - 27 countries (from 2020)",5.1,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2011,"EU27_2020","European Union - 27 countries (from 2020)",7.2,"Percentage","PC","Women","W","No learning activity","NO_LEARN","b"
2016,"EU27_2020","European Union - 27 countries (from 2020)",4.8,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2007,"EU28","European Union - 28 countries (1993-2020)",8.1,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2011,"EU28","European Union - 28 countries (1993-2020)",12.8,"Percentage","PC","Women","W","No learning activity","NO_LEARN","b"
2016,"EU28","European Union - 28 countries (1993-2020)",5,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2007,"FI","Finland",21.8,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2011,"FI","Finland",25.3,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2016,"FI","Finland",25,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2011,"FR","France",13.1,"Percentage","PC","Women","W","No learning activity","NO_LEARN","b"
2016,"FR","France",7.4,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2007,"HR","Croatia",5.2,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2016,"HR","Croatia",,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2007,"HU","Hungary",2.3,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2011,"HU","Hungary",3.7,"Percentage","PC","Women","W","No learning activity","NO_LEARN","b"
2016,"HU","Hungary",3.1,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2011,"IE","Ireland",13.4,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2016,"IE","Ireland",11.5,"Percentage","PC","Women","W","No learning activity","NO_LEARN","b"
2007,"IT","Italy",2.2,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2011,"IT","Italy",4.3,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2016,"IT","Italy",1.9,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2007,"LT","Lithuania",5.4,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2011,"LT","Lithuania",4.6,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2016,"LT","Lithuania",4.5,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2011,"LU","Luxembourg",12.2,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2016,"LU","Luxembourg",7,"Percentage","PC","Women","W","No learning activity","NO_LEARN","bu"
2007,"LV","Latvia",9.9,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2011,"LV","Latvia",12,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2016,"LV","Latvia",5.6,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2016,"MK","North Macedonia",,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2011,"MT","Malta",5.5,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2016,"MT","Malta",,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2011,"NL","Netherlands",14.8,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2016,"NL","Netherlands",11,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2011,"NO","Norway",9.8,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2016,"NO","Norway",,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2007,"PL","Poland",6.7,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2011,"PL","Poland",3.9,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2016,"PL","Poland",3.8,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2007,"PT","Portugal",4.4,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2011,"PT","Portugal",5.6,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2016,"PT","Portugal",,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2007,"RO","Romania",3.7,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2011,"RO","Romania",0.6,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2016,"RO","Romania",,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2011,"RS","Serbia",3.9,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2016,"RS","Serbia",,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2007,"SE","Sweden",9.9,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2011,"SE","Sweden",10.1,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2016,"SE","Sweden",18.7,"Percentage","PC","Women","W","No learning activity","NO_LEARN","bu"
2007,"SI","Slovenia",6.6,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2011,"SI","Slovenia",8.1,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2016,"SI","Slovenia",15,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2007,"SK","Slovakia",8.3,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2011,"SK","Slovakia",8.1,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2016,"SK","Slovakia",,"Percentage","PC","Women","W","No learning activity","NO_LEARN","u"
2007,"TR","Turkey",3.1,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2011,"TR","Turkey",2.6,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2016,"TR","Turkey",1.3,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2007,"UK","United Kingdom",34.6,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2011,"UK","United Kingdom",59.1,"Percentage","PC","Women","W","No learning activity","NO_LEARN",
2016,"UK","United Kingdom",7.2,"Percentage","PC","Women","W","No learning activity","NO_LEARN","b"
2016,"AL","Albania",,"Percentage","PC","Women","W","No response","NRP","u"
2007,"AT","Austria",,"Percentage","PC","Women","W","No response","NRP","u"
2011,"AT","Austria",,"Percentage","PC","Women","W","No response","NRP","u"
2011,"BE","Belgium",,"Percentage","PC","Women","W","No response","NRP","u"
2016,"BE","Belgium",30.8,"Percentage","PC","Women","W","No response","NRP",
