"time","_geo","geo","value","unit","_unit","age","_age","wstatus","_wstatus","sex","_sex","deg_urb","_deg_urb","_flag"
2014,"BE","Belgium",3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2015,"BE","Belgium",3.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2016,"BE","Belgium",3.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2017,"BE","Belgium",2.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2018,"BE","Belgium",2.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2019,"BE","Belgium",2.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2020,"BE","Belgium",2.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2006,"BG","Bulgaria",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2007,"BG","Bulgaria",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2008,"BG","Bulgaria",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2009,"BG","Bulgaria",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2010,"BG","Bulgaria",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2011,"BG","Bulgaria",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2012,"BG","Bulgaria",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2013,"BG","Bulgaria",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2014,"BG","Bulgaria",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2015,"BG","Bulgaria",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2016,"BG","Bulgaria",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2017,"BG","Bulgaria",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2018,"BG","Bulgaria",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2019,"BG","Bulgaria",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2020,"BG","Bulgaria",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2010,"CH","Switzerland",4.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2011,"CH","Switzerland",4.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2012,"CH","Switzerland",3.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2013,"CH","Switzerland",2.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2014,"CH","Switzerland",2.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2015,"CH","Switzerland",3.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2016,"CH","Switzerland",4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2017,"CH","Switzerland",1.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2018,"CH","Switzerland",3.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2019,"CH","Switzerland",2.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2020,"CH","Switzerland",1.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2005,"CY","Cyprus",6.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2006,"CY","Cyprus",5.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2007,"CY","Cyprus",3.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2008,"CY","Cyprus",6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2009,"CY","Cyprus",6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2010,"CY","Cyprus",6.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2011,"CY","Cyprus",4.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2012,"CY","Cyprus",2.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2013,"CY","Cyprus",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2014,"CY","Cyprus",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2015,"CY","Cyprus",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2016,"CY","Cyprus",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2017,"CY","Cyprus",3.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2018,"CY","Cyprus",3.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2019,"CY","Cyprus",4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2020,"CY","Cyprus",3.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2005,"CZ","Czechia",1.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2006,"CZ","Czechia",1.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2007,"CZ","Czechia",1.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2008,"CZ","Czechia",1.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2009,"CZ","Czechia",1.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2010,"CZ","Czechia",1.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2011,"CZ","Czechia",1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2012,"CZ","Czechia",1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2013,"CZ","Czechia",1.4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2014,"CZ","Czechia",0.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2015,"CZ","Czechia",0.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2016,"CZ","Czechia",2.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2017,"CZ","Czechia",1.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2018,"CZ","Czechia",1.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2019,"CZ","Czechia",2.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2020,"CZ","Czechia",2.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2005,"DE","Germany",4.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2006,"DE","Germany",5.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2007,"DE","Germany",4.4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2008,"DE","Germany",4.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2009,"DE","Germany",4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2010,"DE","Germany",4.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2011,"DE","Germany",4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2012,"DE","Germany",3.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2013,"DE","Germany",3.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2014,"DE","Germany",3.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2015,"DE","Germany",3.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2016,"DE","Germany",3.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2017,"DE","Germany",3.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2018,"DE","Germany",3.4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2019,"DE","Germany",3.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2020,"DE","Germany",3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bp"
2005,"DK","Denmark",2.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2006,"DK","Denmark",5.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2007,"DK","Denmark",4.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2008,"DK","Denmark",5.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2009,"DK","Denmark",3.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2010,"DK","Denmark",3.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2011,"DK","Denmark",3.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2012,"DK","Denmark",3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2013,"DK","Denmark",2.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2014,"DK","Denmark",1.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2015,"DK","Denmark",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2016,"DK","Denmark",2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2017,"DK","Denmark",2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2018,"DK","Denmark",2.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2019,"DK","Denmark",2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2020,"DK","Denmark",2.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2005,"EA19","Euro area (19 countries)",6.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2006,"EA19","Euro area (19 countries)",6.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2007,"EA19","Euro area (19 countries)",5.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2008,"EA19","Euro area (19 countries)",5.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2009,"EA19","Euro area (19 countries)",5.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2010,"EA19","Euro area (19 countries)",4.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2011,"EA19","Euro area (19 countries)",4.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2012,"EA19","Euro area (19 countries)",3.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2013,"EA19","Euro area (19 countries)",3.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2014,"EA19","Euro area (19 countries)",2.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2015,"EA19","Euro area (19 countries)",3.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2016,"EA19","Euro area (19 countries)",2.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2017,"EA19","Euro area (19 countries)",2.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2018,"EA19","Euro area (19 countries)",3.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2019,"EA19","Euro area (19 countries)",2.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2020,"EA19","Euro area (19 countries)",2.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2005,"EE","Estonia",5.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2006,"EE","Estonia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2007,"EE","Estonia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2008,"EE","Estonia",6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2009,"EE","Estonia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2010,"EE","Estonia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2011,"EE","Estonia",5.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2012,"EE","Estonia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2013,"EE","Estonia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2014,"EE","Estonia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2015,"EE","Estonia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2016,"EE","Estonia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2017,"EE","Estonia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2018,"EE","Estonia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2019,"EE","Estonia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2020,"EE","Estonia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2005,"EL","Greece",2.4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2006,"EL","Greece",3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2007,"EL","Greece",2.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2008,"EL","Greece",3.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2009,"EL","Greece",3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2010,"EL","Greece",2.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2011,"EL","Greece",1.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2012,"EL","Greece",1.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2013,"EL","Greece",0.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2014,"EL","Greece",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2015,"EL","Greece",0.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2016,"EL","Greece",0.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2017,"EL","Greece",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2018,"EL","Greece",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2019,"EL","Greece",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2020,"EL","Greece",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2005,"ES","Spain",13.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2006,"ES","Spain",13.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2007,"ES","Spain",14,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2008,"ES","Spain",13.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2009,"ES","Spain",10.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2010,"ES","Spain",8.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2011,"ES","Spain",7.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2012,"ES","Spain",6.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2013,"ES","Spain",6.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2014,"ES","Spain",5.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2015,"ES","Spain",5.4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2016,"ES","Spain",4.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2017,"ES","Spain",5.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2018,"ES","Spain",5.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2019,"ES","Spain",5.4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2020,"ES","Spain",3.4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2005,"EU15","European Union - 15 countries (1995-2004)",6.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2006,"EU15","European Union - 15 countries (1995-2004)",6.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2007,"EU15","European Union - 15 countries (1995-2004)",6.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2008,"EU15","European Union - 15 countries (1995-2004)",5.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2009,"EU15","European Union - 15 countries (1995-2004)",5.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2010,"EU15","European Union - 15 countries (1995-2004)",4.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2011,"EU15","European Union - 15 countries (1995-2004)",4.4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2012,"EU15","European Union - 15 countries (1995-2004)",3.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2013,"EU15","European Union - 15 countries (1995-2004)",3.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2014,"EU15","European Union - 15 countries (1995-2004)",3.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2015,"EU15","European Union - 15 countries (1995-2004)",3.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2016,"EU15","European Union - 15 countries (1995-2004)",3.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2017,"EU15","European Union - 15 countries (1995-2004)",3.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2018,"EU15","European Union - 15 countries (1995-2004)",3.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2019,"EU15","European Union - 15 countries (1995-2004)",3.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2005,"EU27_2020","European Union - 27 countries (from 2020)",6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2006,"EU27_2020","European Union - 27 countries (from 2020)",5.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2007,"EU27_2020","European Union - 27 countries (from 2020)",5.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2008,"EU27_2020","European Union - 27 countries (from 2020)",5.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2009,"EU27_2020","European Union - 27 countries (from 2020)",4.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2010,"EU27_2020","European Union - 27 countries (from 2020)",4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2011,"EU27_2020","European Union - 27 countries (from 2020)",3.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2012,"EU27_2020","European Union - 27 countries (from 2020)",3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2013,"EU27_2020","European Union - 27 countries (from 2020)",2.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2014,"EU27_2020","European Union - 27 countries (from 2020)",2.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2015,"EU27_2020","European Union - 27 countries (from 2020)",2.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2016,"EU27_2020","European Union - 27 countries (from 2020)",2.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2017,"EU27_2020","European Union - 27 countries (from 2020)",2.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2018,"EU27_2020","European Union - 27 countries (from 2020)",2.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2019,"EU27_2020","European Union - 27 countries (from 2020)",2.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2020,"EU27_2020","European Union - 27 countries (from 2020)",2.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2005,"EU28","European Union - 28 countries (1993-2020)",6.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
