"time,""_geo"",""geo"",""value"",""UNIT"",""_UNIT"",""EGROUP"",""_EGROUP"",""POSITION"",""_POSITION"",""sex"",""_sex"",""_flag"""
"2021-Q4,""AT"",""Austria"",8,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2022-Q1,""AT"",""Austria"",8,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2022-Q2,""AT"",""Austria"",8,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"1999-Q1,""AT"",""Austria"",14,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"1999-Q3,""AT"",""Austria"",13,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2004-Q3,""AT"",""Austria"",13,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2009-Q4,""AT"",""Austria"",10,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2010-Q1,""AT"",""Austria"",10,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2010-Q2,""AT"",""Austria"",10,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2010-Q3,""AT"",""Austria"",10,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2010-Q4,""AT"",""Austria"",10,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2011-Q1,""AT"",""Austria"",10,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2011-Q2,""AT"",""Austria"",11,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2011-Q3,""AT"",""Austria"",11,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2011-Q4,""AT"",""Austria"",11,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2012-Q1,""AT"",""Austria"",13,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2012-Q2,""AT"",""Austria"",13,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2012-Q3,""AT"",""Austria"",13,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2012-Q4,""AT"",""Austria"",13,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2013-Q1,""AT"",""Austria"",13,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2013-Q2,""AT"",""Austria"",13,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2013-Q3,""AT"",""Austria"",13,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2013-Q4,""AT"",""Austria"",13,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2014-Q1,""AT"",""Austria"",13,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2014-Q2,""AT"",""Austria"",13,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2014-Q3,""AT"",""Austria"",10,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2014-Q4,""AT"",""Austria"",10,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2015-Q1,""AT"",""Austria"",10,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2015-Q2,""AT"",""Austria"",10,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2015-Q3,""AT"",""Austria"",9,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2015-Q4,""AT"",""Austria"",9,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2016-Q1,""AT"",""Austria"",9,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2016-Q2,""AT"",""Austria"",9,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2016-Q3,""AT"",""Austria"",9,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2016-Q4,""AT"",""Austria"",9,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2017-Q1,""AT"",""Austria"",9,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2017-Q2,""AT"",""Austria"",9,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2017-Q3,""AT"",""Austria"",9,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2017-Q4,""AT"",""Austria"",9,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2018-Q1,""AT"",""Austria"",11,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2018-Q2,""AT"",""Austria"",11,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2018-Q3,""AT"",""Austria"",11,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2018-Q4,""AT"",""Austria"",11,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2019-Q1,""AT"",""Austria"",11,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2019-Q2,""AT"",""Austria"",11,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2019-Q3,""AT"",""Austria"",9,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2019-Q4,""AT"",""Austria"",9,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2020-Q1,""AT"",""Austria"",11,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2020-Q2,""AT"",""Austria"",11,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2020-Q3,""AT"",""Austria"",11,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2020-Q4,""AT"",""Austria"",11,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2021-Q1,""AT"",""Austria"",11,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2021-Q2,""AT"",""Austria"",11,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2021-Q3,""AT"",""Austria"",11,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2021-Q4,""AT"",""Austria"",11,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2022-Q1,""AT"",""Austria"",11,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"2022-Q2,""AT"",""Austria"",11,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Men"",""M"","
"1999-Q1,""AT"",""Austria"",21,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"1999-Q3,""AT"",""Austria"",21,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2004-Q3,""AT"",""Austria"",18,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2009-Q4,""AT"",""Austria"",17,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2010-Q1,""AT"",""Austria"",17,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2010-Q2,""AT"",""Austria"",17,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2010-Q3,""AT"",""Austria"",17,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2010-Q4,""AT"",""Austria"",17,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2011-Q1,""AT"",""Austria"",17,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2011-Q2,""AT"",""Austria"",17,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2011-Q3,""AT"",""Austria"",17,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2011-Q4,""AT"",""Austria"",17,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2012-Q1,""AT"",""Austria"",19,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2012-Q2,""AT"",""Austria"",19,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2012-Q3,""AT"",""Austria"",19,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2012-Q4,""AT"",""Austria"",19,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2013-Q1,""AT"",""Austria"",19,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2013-Q2,""AT"",""Austria"",19,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2013-Q3,""AT"",""Austria"",19,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2013-Q4,""AT"",""Austria"",19,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2014-Q1,""AT"",""Austria"",19,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2014-Q2,""AT"",""Austria"",19,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2014-Q3,""AT"",""Austria"",18,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2014-Q4,""AT"",""Austria"",18,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2015-Q1,""AT"",""Austria"",18,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2015-Q2,""AT"",""Austria"",18,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2015-Q3,""AT"",""Austria"",18,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
"2015-Q4,""AT"",""Austria"",18,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Total"",""T"","
