"time,""_geo"",""geo"",""value"",""UNIT"",""_UNIT"",""EGROUP"",""_EGROUP"",""POSITION"",""_POSITION"",""sex"",""_sex"""
"2019,""AL"",""Albania"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Total"",""T"""
"2020,""AL"",""Albania"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Total"",""T"""
"2021,""AL"",""Albania"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Total"",""T"""
"2003,""AT"",""Austria"",8,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Women"",""W"""
"2004,""AT"",""Austria"",8,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Women"",""W"""
"2005,""AT"",""Austria"",10,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Women"",""W"""
"2006,""AT"",""Austria"",12,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Women"",""W"""
"2007,""AT"",""Austria"",14,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Women"",""W"""
"2008,""AT"",""Austria"",14,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Women"",""W"""
"2009,""AT"",""Austria"",14,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Women"",""W"""
"2010,""AT"",""Austria"",14,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Women"",""W"""
"2011,""AT"",""Austria"",16,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Women"",""W"""
"2012,""AT"",""Austria"",16,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Women"",""W"""
"2013,""AT"",""Austria"",17,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Women"",""W"""
"2014,""AT"",""Austria"",18,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Women"",""W"""
"2015,""AT"",""Austria"",20,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Women"",""W"""
"2016,""AT"",""Austria"",19,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Women"",""W"""
"2017,""AT"",""Austria"",19,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Women"",""W"""
"2018,""AT"",""Austria"",23,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Women"",""W"""
"2019,""AT"",""Austria"",23,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Women"",""W"""
"2020,""AT"",""Austria"",23,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Women"",""W"""
"2021,""AT"",""Austria"",24,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Women"",""W"""
"2003,""AT"",""Austria"",49,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Men"",""M"""
"2004,""AT"",""Austria"",49,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Men"",""M"""
"2005,""AT"",""Austria"",46,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Men"",""M"""
"2006,""AT"",""Austria"",44,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Men"",""M"""
"2007,""AT"",""Austria"",43,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Men"",""M"""
"2008,""AT"",""Austria"",43,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Men"",""M"""
"2009,""AT"",""Austria"",43,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Men"",""M"""
"2010,""AT"",""Austria"",43,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Men"",""M"""
"2011,""AT"",""Austria"",42,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Men"",""M"""
"2012,""AT"",""Austria"",42,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Men"",""M"""
"2013,""AT"",""Austria"",41,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Men"",""M"""
"2014,""AT"",""Austria"",41,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Men"",""M"""
"2015,""AT"",""Austria"",40,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Men"",""M"""
"2016,""AT"",""Austria"",41,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Men"",""M"""
"2017,""AT"",""Austria"",41,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Men"",""M"""
"2018,""AT"",""Austria"",36,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Men"",""M"""
"2019,""AT"",""Austria"",37,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Men"",""M"""
"2020,""AT"",""Austria"",37,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Men"",""M"""
"2021,""AT"",""Austria"",36,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Men"",""M"""
"2003,""AT"",""Austria"",57,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Total"",""T"""
"2004,""AT"",""Austria"",57,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Total"",""T"""
"2005,""AT"",""Austria"",56,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Total"",""T"""
"2006,""AT"",""Austria"",56,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Total"",""T"""
"2007,""AT"",""Austria"",57,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Total"",""T"""
"2008,""AT"",""Austria"",57,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Total"",""T"""
"2009,""AT"",""Austria"",57,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Total"",""T"""
"2010,""AT"",""Austria"",57,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Total"",""T"""
"2011,""AT"",""Austria"",58,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Total"",""T"""
"2012,""AT"",""Austria"",58,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Total"",""T"""
"2013,""AT"",""Austria"",58,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Total"",""T"""
"2014,""AT"",""Austria"",59,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Total"",""T"""
"2015,""AT"",""Austria"",60,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Total"",""T"""
"2016,""AT"",""Austria"",60,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Total"",""T"""
"2017,""AT"",""Austria"",60,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Total"",""T"""
"2018,""AT"",""Austria"",59,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Total"",""T"""
"2019,""AT"",""Austria"",60,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Total"",""T"""
"2020,""AT"",""Austria"",60,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Total"",""T"""
"2021,""AT"",""Austria"",60,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Total"",""T"""
"2003,""AT"",""Austria"",0,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Women"",""W"""
"2004,""AT"",""Austria"",0,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Women"",""W"""
"2005,""AT"",""Austria"",0,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Women"",""W"""
"2006,""AT"",""Austria"",0,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Women"",""W"""
"2007,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Women"",""W"""
"2008,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Women"",""W"""
"2009,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Women"",""W"""
"2010,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Women"",""W"""
"2011,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Women"",""W"""
"2012,""AT"",""Austria"",0,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Women"",""W"""
"2013,""AT"",""Austria"",0,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Women"",""W"""
"2014,""AT"",""Austria"",0,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Women"",""W"""
"2015,""AT"",""Austria"",0,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Women"",""W"""
"2016,""AT"",""Austria"",0,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Women"",""W"""
"2017,""AT"",""Austria"",0,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Women"",""W"""
"2018,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Women"",""W"""
"2019,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Women"",""W"""
"2020,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Women"",""W"""
"2021,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Women"",""W"""
"2003,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Men"",""M"""
"2004,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Men"",""M"""
"2005,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Men"",""M"""
"2006,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Men"",""M"""
"2007,""AT"",""Austria"",0,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Men"",""M"""
"2008,""AT"",""Austria"",0,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Men"",""M"""
"2009,""AT"",""Austria"",0,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Men"",""M"""
"2010,""AT"",""Austria"",0,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Men"",""M"""
"2011,""AT"",""Austria"",0,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Men"",""M"""
"2012,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Men"",""M"""
"2013,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Men"",""M"""
"2014,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Men"",""M"""
"2015,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Men"",""M"""
"2016,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Men"",""M"""
"2017,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Men"",""M"""
"2018,""AT"",""Austria"",0,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Men"",""M"""
"2019,""AT"",""Austria"",0,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Men"",""M"""
"2020,""AT"",""Austria"",0,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Men"",""M"""
"2021,""AT"",""Austria"",0,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Men"",""M"""
"2003,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Total"",""T"""
"2004,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Total"",""T"""
"2005,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Total"",""T"""
"2006,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Total"",""T"""
"2007,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Total"",""T"""
"2008,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Total"",""T"""
"2009,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Total"",""T"""
"2010,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Total"",""T"""
"2011,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Total"",""T"""
"2012,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Total"",""T"""
"2013,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Total"",""T"""
"2014,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Total"",""T"""
"2015,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Total"",""T"""
"2016,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Total"",""T"""
"2017,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Total"",""T"""
"2018,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Total"",""T"""
"2019,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Total"",""T"""
"2020,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Total"",""T"""
"2021,""AT"",""Austria"",1,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""President: President of the court"",""PRES_CRT"",""Total"",""T"""
"2018,""BA"",""Bosnia and Herzegovina"",25,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Women"",""W"""
"2019,""BA"",""Bosnia and Herzegovina"",25,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Women"",""W"""
"2020,""BA"",""Bosnia and Herzegovina"",25,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Women"",""W"""
"2021,""BA"",""Bosnia and Herzegovina"",25,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Women"",""W"""
"2018,""BA"",""Bosnia and Herzegovina"",27,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Men"",""M"""
"2019,""BA"",""Bosnia and Herzegovina"",29,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Men"",""M"""
"2020,""BA"",""Bosnia and Herzegovina"",26,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Men"",""M"""
"2021,""BA"",""Bosnia and Herzegovina"",27,""Number of persons (headcount)"",""NR"",""National courts: Supreme courts"",""CRTS_NAT_SUP"",""Members: Judges of the court"",""MEMB_CRT"",""Men"",""M"""
